split1,split2
"'hood","'hood"
"1530s","1530s"
"15_May_Organization","15_May_Organization"
"1750s","1750s"
"1760s","1760s"
"1770s","1770s"
"1780s","1780s"
"1790s","1790s"
"18-karat_gold","18-karat_gold"
"1820s","1820s"
"1830s","1830s"
"1840s","1840s"
"1850s","1850s"
"1860s","1860s"
"1870s","1870s"
"1900s","1900s"
"22-karat_gold","22-karat_gold"
"24-karat_gold","24-karat_gold"
"pure_gold","pure_gold"
"24/7","24/7"
"401-k_plan","401-k_plan"
"401-k","401-k"
"9/11","9/11"
"9-11","9-11"
"September_11","September_11"
"Sept._11","Sept._11"
"Sep_11","Sep_11"
"angstrom","angstrom"
"angstrom_unit","angstrom_unit"
"A","A"
"vitamin_A","vitamin_A"
"antiophthalmic_factor","antiophthalmic_factor"
"axerophthol","axerophthol"
"A","A"
"deoxyadenosine_monophosphate","deoxyadenosine_monophosphate"
"A","A"
"adenine","adenine"
"A","A"
"ampere","ampere"
"amp","amp"
"A","A"
"A","A"
"letter_a","letter_a"
"A","A"
"type_A","type_A"
"group_A","group_A"
"A'man","A'man"
"A-horizon","A-horizon"
"A_horizon","A_horizon"
"A-line","A-line"
"A-list","A-list"
"A-team","A-team"
"Bachelor_of_Arts","Bachelor_of_Arts"
"BA","BA"
"Artium_Baccalaurens","Artium_Baccalaurens"
"AB","AB"
"Ab","Ab"
"Av","Av"
"abdominal","abdominal"
"abdominal_muscle","abdominal_muscle"
"ab","ab"
"AB","AB"
"type_AB","type_AB"
"group_AB","group_AB"
"ABO_antibodies","ABO_antibodies"
"ABO_blood_group_system","ABO_blood_group_system"
"ABO_system","ABO_system"
"ABO_group","ABO_group"
"ACE_inhibitor","ACE_inhibitor"
"angiotensin-converting_enzyme_inhibitor","angiotensin-converting_enzyme_inhibitor"
"ADA-SCID","ADA-SCID"
"AIDS","AIDS"
"acquired_immune_deficiency_syndrome","acquired_immune_deficiency_syndrome"
"Algol","Algol"
"ALGOL","ALGOL"
"AND_circuit","AND_circuit"
"AND_gate","AND_gate"
"armored_personnel_carrier","armored_personnel_carrier"
"armoured_personnel_carrier","armoured_personnel_carrier"
"APC","APC"
"APC","APC"
"ASCII_character","ASCII_character"
"ASCII_character_set","ASCII_character_set"
"ASCII_text_file","ASCII_text_file"
"ASL","ASL"
"American_sign_language","American_sign_language"
"AWOL","AWOL"
"A_battery","A_battery"
"A_level","A_level"
"Aachen","Aachen"
"Aken","Aken"
"Aix-la-Chapelle","Aix-la-Chapelle"
"Aalborg","Aalborg"
"Alborg","Alborg"
"Aalto","Aalto"
"Alvar_Aalto","Alvar_Aalto"
"Hugo_Alvar_Henrik_Aalto","Hugo_Alvar_Henrik_Aalto"
"Aare","Aare"
"Aar","Aar"
"Aare_River","Aare_River"
"Aaron","Aaron"
"Henry_Louis_Aaron","Henry_Louis_Aaron"
"Hank_Aaron","Hank_Aaron"
"Aaron","Aaron"
"Abadan","Abadan"
"Abbe_condenser","Abbe_condenser"
"abecedarian","abecedarian"
"Abecedarian","Abecedarian"
"Abel","Abel"
"Niels_Abel","Niels_Abel"
"Niels_Henrik_Abel","Niels_Henrik_Abel"
"Abel","Abel"
"Abelard","Abelard"
"Peter_Abelard","Peter_Abelard"
"Pierre_Abelard","Pierre_Abelard"
"Abelian_group","Abelian_group"
"commutative_group","commutative_group"
"Abelmoschus","Abelmoschus"
"genus_Abelmoschus","genus_Abelmoschus"
"Aberdare","Aberdare"
"Aberdeen","Aberdeen"
"Aberdeen","Aberdeen"
"Aberdeen","Aberdeen"
"Aberdeen","Aberdeen"
"Aberdeen_Angus","Aberdeen_Angus"
"Angus","Angus"
"black_Angus","black_Angus"
"Abidjan","Abidjan"
"Abies","Abies"
"genus_Abies","genus_Abies"
"Abilene","Abilene"
"Abilene","Abilene"
"Abkhaz","Abkhaz"
"Abkhas","Abkhas"
"Abkhaz","Abkhaz"
"Abkhazia","Abkhazia"
"Abkhazian","Abkhazian"
"Abkhasian","Abkhasian"
"Abnaki","Abnaki"
"Abnaki","Abnaki"
"Abney_level","Abney_level"
"aborigine","aborigine"
"autochthon","autochthon"
"Aborigine","Aborigine"
"Abo","Abo"
"Aboriginal","Aboriginal"
"native_Australian","native_Australian"
"Australian_Aborigine","Australian_Aborigine"
"Abraham","Abraham"
"Ibrahim","Ibrahim"
"Abraham's_bosom","Abraham's_bosom"
"bosom_of_Abraham","bosom_of_Abraham"
"Abramis","Abramis"
"genus_Abramis","genus_Abramis"
"Abrocoma","Abrocoma"
"genus_Abrocoma","genus_Abrocoma"
"Abronia","Abronia"
"genus_Abronia","genus_Abronia"
"Abruzzi","Abruzzi"
"Abruzzi_e_Molise","Abruzzi_e_Molise"
"Abstract_Expressionism","Abstract_Expressionism"
"action_painting","action_painting"
"Abu_Dhabi","Abu_Dhabi"
"United_Arab_Emirates's_capital","United_Arab_Emirates's_capital"
"Abu_Hafs_al-Masri_Brigades","Abu_Hafs_al-Masri_Brigades"
"Abu_Sayyaf","Abu_Sayyaf"
"Bearer_of_the_Sword","Bearer_of_the_Sword"
"Abudefduf","Abudefduf"
"genus_Abudefduf","genus_Abudefduf"
"Abuja","Abuja"
"capital_of_Nigeria","capital_of_Nigeria"
"Nigerian_capital","Nigerian_capital"
"Abukir","Abukir"
"Abukir_Bay","Abukir_Bay"
"Abutilon","Abutilon"
"genus_Abutilon","genus_Abutilon"
"Abydos","Abydos"
"Abyssinian","Abyssinian"
"Abyssinian_cat","Abyssinian_cat"
"Abyssinian_banana","Abyssinian_banana"
"Ethiopian_banana","Ethiopian_banana"
"Ensete_ventricosum","Ensete_ventricosum"
"Musa_ensete","Musa_ensete"
"Academy_Award","Academy_Award"
"Oscar","Oscar"
"Academy_of_Motion_Picture_Arts_and_Sciences","Academy_of_Motion_Picture_Arts_and_Sciences"
"Academy_of_Television_Arts_and_Sciences","Academy_of_Television_Arts_and_Sciences"
"Acadia","Acadia"
"Acadia_National_Park","Acadia_National_Park"
"Acadian","Acadian"
"Acalypha","Acalypha"
"genus_Acalypha","genus_Acalypha"
"Acanthaceae","Acanthaceae"
"family_Acanthaceae","family_Acanthaceae"
"acanthus_family","acanthus_family"
"Acanthisitta","Acanthisitta"
"genus_Acanthisitta","genus_Acanthisitta"
"Acanthocephala","Acanthocephala"
"phylum_Acanthocephala","phylum_Acanthocephala"
"Acanthocereus","Acanthocereus"
"genus_Acanthocereus","genus_Acanthocereus"
"Acanthocybium","Acanthocybium"
"genus_Acanthocybium","genus_Acanthocybium"
"Acanthophis","Acanthophis"
"genus_Acanthophis","genus_Acanthophis"
"Acanthopterygii","Acanthopterygii"
"superorder_Acanthopterygii","superorder_Acanthopterygii"
"Acanthoscelides","Acanthoscelides"
"genus_Acanthoscelides","genus_Acanthoscelides"
"Acanthuridae","Acanthuridae"
"family_Acanthuridae","family_Acanthuridae"
"Acanthurus","Acanthurus"
"genus_Acanthurus","genus_Acanthurus"
"Acapulco","Acapulco"
"Acapulco_de_Juarez","Acapulco_de_Juarez"
"Acapulco_gold","Acapulco_gold"
"Mexican_green","Mexican_green"
"Acaridae","Acaridae"
"family_Acaridae","family_Acaridae"
"Acarina","Acarina"
"order_Acarina","order_Acarina"
"Accipiter","Accipiter"
"genus_Accipiter","genus_Accipiter"
"Accipitridae","Accipitridae"
"family_Accipitridae","family_Accipitridae"
"Accipitriformes","Accipitriformes"
"order_Accipitriformes","order_Accipitriformes"
"Accra","Accra"
"capital_of_Ghana","capital_of_Ghana"
"Acer","Acer"
"genus_Acer","genus_Acer"
"Aceraceae","Aceraceae"
"family_Aceraceae","family_Aceraceae"
